,source_name,url,title,date,words_count,words_converted,ratio,topic,author,gender_author,headline,counter_list,pers_pron_fem,pers_pron_masc,deter_pron_fem,deter_pron_masc,noun_fem,noun_masc,adj_conn_fem,adj_conn_masc,title_fem,title_masc,rt_pers_pron_fem,rt_pers_pron_masc,rt_deter_pron_fem,rt_deter_pron_masc,rt_noun_fem,rt_noun_masc,rt_adj_conn_fem,rt_adj_conn_masc,rt_title_fem,rt_title_masc,sum_rt_noun,sum_rt_adj,sum_rt_title,sum_rt_global_bias,max_rt,max_rt_cat,min_rt,min_rt,source_ml,topic_ml,sex_ml,fem_noun_arr,Male_noun_arr,adj_fem_arr,adj_masc_arr,title_fem_arr,title_masc_arr
37,cnbc,https://www.cnbc.com/2021/01/01/modern-health-ceo-told-employees-to-take-care-of-own-mental-health.html,"""For mental health start-up Modern Health, pandemic-fueled growth created whole new set of anxieties""",2021-01-01,758,20,2.639,technology,Ari Levy,male,"""Modern Health CEO Alyson Watson reminded employees to take care of their own mental health during a year of hypergrowth and extreme anxiety. She wrote a message to staffers in May about personal issues and said, “While I’m nervous to share all of this, I feel obligated to feel vulnerable knowing that my team has my back.” In mid-December, Modern Health raised $51 million at a valuation above $500 million""","""{' she ': 9, ' her ': 4, ' she was ': 3, 'She ': 2, 'Her ': 1, 'she’s': 1}""",15,0,5,0,0,0,0,0,0,0,75,0,25,0,0,0,0,0,0,0,0,0,0,0,75,pers pron fem,25,deter fem,11,9,0,NaN,NaN,NaN,NaN,NaN,NaN
38,cnbc,https://www.cnbc.com/2020/12/30/covid-vaccine-oxford-researcher-says-future-strains-can-be-protected-against.html,"""Oxford researcher confident Covid vaccines can be adapted to protect against future virus strains""",2020-12-30,556,7,1.259,health,Kevin Stankiewicz,male,"""Oxford University and AstraZeneca’s Covid vaccine likely protects against the new strain circulating in the U.K., according to researcher Sir John Bell. But in general, the vaccine can be updated to protect against future mutations, Bell told CNBC. “If we have to make new vaccines, we can make them now that we’ve done the initial work,” he said.""","""{' he ': 4, 'Sir': 1, ' he was': 1, 'He ': 1}""",6,0,0,0,0,1,0,0,0,0,86,0,0,0,0,14,0,0,0,0,14,0,0,2,86,pers pron fem,14,masc noun,11,4,0,NaN,NaN,NaN,NaN,NaN,"""""""Male titles = ['Sir']"""""""
39,science,https://www.sciencemag.org/news/2020/12/brexit-deal-secures-uk-access-european-research-funds,"""Brexit deal secures U.K. access to European research funds""",2020-12-28,752,4,0.532,politics,Nicholas Wallace,male,"""On 24 December, U.K. Prime Minister Boris Johnson announced a Brexit deal that would preserve access to several European research programs. ""","""{'Kingdom': 5, ' he ': 2, 'she’s': 1, ' she ': 1}""",2,2,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,50,pers pron fem,50,pers pron fem,10,7,0,NaN,NaN,NaN,NaN,NaN,NaN
40,science,https://www.sciencemag.org/careers/2020/11/when-sound-science-meets-imperfect-grammar,"""When sound science meets imperfect grammar""",2020-11-30,903,2,0.221,social science,Adam Ruben,male,None,"""{'wife': 1, ' he ': 1}""",0,1,0,0,1,0,0,0,0,0,0,50,0,0,50,0,0,0,0,0,50,0,0,8,50,per pron masc,50,per pron masc,10,12,0,"""""""Female nouns = ['wife']""""""",NaN,NaN,NaN,NaN,NaN
41,npr,https://www.npr.org/2021/01/03/952422397/pelosi-poised-to-be-reelected-speaker-but-slimmer-majority-makes-it-tight,"""Pelosi Is Narrowly Reelected Speaker""",2021-01-03,539,15,2.783,politics,Philip Ewing,male,"""House Speaker Nancy Pelosi will lead a tighter majority this congressional session after the Democrats lost seats in the November election.""","""{' her ': 8, ' she ': 2, 'She ': 2, ' her.': 1, ' women,': 1, ' women ': 1}""",4,0,9,0,2,0,0,0,0,0,27,0,60,0,13,0,0,0,0,0,13,0,0,2,60,deter fem,13,fem noun,12,7,0,"""""""Female nouns = [' women ', ' women,']""""""",NaN,NaN,NaN,NaN,NaN
42,abc news,https://abcnews.go.com/Lifestyle/wireStory/convicted-defamation-blow-chinas-metoo-movement-75106677,"""2 convicted of defamation in blow to China's #MeToo movement""",2021-01-07,607,20,3.295,world,HUIZHONG WU Associated Press,female,"""In a potential blow to the #MeToo movement in China, two former journalists have been convicted of defaming a third Chinese journalist by publishing an account accusing him of sexual misconduct""","""{' her ': 3, ' men ': 2, ' his ': 2, ' she ': 2, ' him ': 1, ' her.': 1, ' she was ': 1, ' women ': 1, 'male-': 1, ' he ': 1, 'herself': 1, ' she has ': 1, ' she still has': 1, 'She ': 1, ' women.': 1}""",6,1,5,3,2,2,0,1,0,0,30,5,25,15,10,10,0,5,0,0,20,5,0,4,30,pers pron fem,5,per pron masc,1,11,1,"""""""Female nouns = [' women.', ' women ']""""""","""""""Male nouns = [' men ']""""""",NaN,"""""""Adjectives with masculine connotation = ['male-']""""""",NaN,NaN
43,abc news,https://abcnews.go.com/Politics/wireStory/race-double-standard-clear-rioters-capitol-insurrection-75112964,"""Race double standard clear in rioters’ Capitol insurrection""",2021-01-07,1116,13,1.165,politics,AARON MORRISON Associated Press,male,"""The violent breaching of the halls of power on Capitol Hill by insurrectionists represents one of the plainest displays of a racial double standard in modern history""","""{' his ': 5, ' he ': 3, ' woman ': 1, ' women.': 1, ' men ': 1, 'daughter': 1, 'She ': 1}""",1,3,0,5,3,1,0,0,0,0,8,23,0,38,23,8,0,0,0,0,31,0,0,5,38,deter masc,8,pers pron fem,1,7,0,"""""""Female nouns = [' women.', 'daughter', ' woman ']""""""","""""""Male nouns = [' men ']""""""",NaN,NaN,NaN,NaN
44,abc news,https://abcnews.go.com/Technology/wireStory/google-workers-form-labor-union-tech-industry-rarity-75036511,"""Google workers form new labor union, a tech industry rarity""",2021-01-05,712,3,0.421,social science,MATT O'BRIEN AP Technology Writer,male,"""A group of Google engineers announced Monday they have formed a union, creating a rare foothold for the labor movement in the tech industry""","""{' he ': 1, ' she was ': 1, ' she ': 1}""",2,1,0,0,0,0,0,0,0,0,67,33,0,0,0,0,0,0,0,0,0,0,0,0,67,pers pron fem,33,per pron masc,1,12,0,NaN,NaN,NaN,NaN,NaN,NaN
45,abc news,https://www.goodmorningamerica.com/food/story/california-law-requires-delivery-platforms-direct-partnerships-restaurants-75079470,"""New California law requires delivery platforms to have direct partnerships with restaurants""",2021-01-07,709,7,0.987,food and drinks,Kelly McCarthy,female,None,"""{' she ': 2, ' her ': 2, 'Assemblywoman': 1, 'She ': 1, 'spokesman': 1}""",3,0,2,0,1,1,0,0,0,0,43,0,29,0,14,14,0,0,0,0,29,0,0,5,43,pers pron fem,14,fem noun,1,3,1,"""""""Female nouns = ['Assemblywoman']""""""","""""""Male nouns = ['spokesman']""""""",NaN,NaN,NaN,NaN
46,abc news,https://www.goodmorningamerica.com/wellness/story/seasonal-depression-pandemic-combine-potentially-dreary-winter-cope-74752121,"""Seasonal depression, pandemic combine for potentially dreary winter. Here's how to cope""",2020-12-29,960,10,1.042,social science,Katie Kindelan,female,None,"""{' she ': 3, ' she has ': 2, ' women ': 2, ' her ': 1, 'than men': 1, ' men.': 1}""",5,0,1,0,2,2,0,0,0,0,50,0,10,0,20,20,0,0,0,0,40,0,0,7,50,pers pron fem,10,deter fem,1,12,1,"""""""Female nouns = [' women ']""""""","""""""Male nouns = ['than men', ' men.']""""""",NaN,NaN,NaN,NaN
47,newsweek,https://www.newsweek.com/parler-ceo-john-matze-optimist-never-back-online-aws-apple-google-lawsuits-1561562,"""Parler CEO John Matze Says Site May 'Never' Get Back Online but He's an 'Optimist'""",2021-01-14,492,4,0.813,technology,JASON MURDOCK,male,None,"""{' his ': 2, 'He ': 2}""",0,2,0,2,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,50,per pron masc,50,per pron masc,6,9,0,NaN,NaN,NaN,NaN,NaN,NaN
48,newsweek,https://www.newsweek.com/first-pfizer-vaccine-shot-risk-50-percent-1561285,"""First Pfizer COVID Vaccine Shot Cuts Risk of Infection by 50 Percent: Study""",2021-01-13,471,0,0.000,health,Aristos Georgiou,male,None,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,6,4,0,0,0,0,0,0,0
49,newsweek,https://www.newsweek.com/fda-recalls-11000-weis-ice-cream-containers-over-metal-shards-fears-1561218,"""FDA Recalls 11,000 Weis Ice Cream Containers Over Metal Shards Fears""",2021-01-13,444,0,0.000,health,Samantha Lock ,female,None,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,6,4,1,0,0,0,0,0,0
50,newsweek,https://www.newsweek.com/wall-street-dow-jones-nasdaq-sp-us-capitol-1559758,"""Wall Street Unfazed by U.S. Capitol Pandemonium""",2021-01-07,502,1,0.199,business,Tom Batchelor ,male,None,"""{' he ': 1}""",0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,per pron masc,0,0,6,1,0,NaN,NaN,NaN,NaN,NaN,NaN
51,newsweek,https://www.newsweek.com/new-york-based-climate-activists-yes-men-revealed-source-bank-england-prank-1553507,"""New York-Based Climate Activists The Yes Men Revealed as Source of Bank of England Prank""",2020-12-09,470,3,0.638,business,Lucy Harley-McKeown ,female,None,"""{'Men,': 2, """"Men'"""": 1}""",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,17,100,masc noun,0,0,6,1,1,NaN,"""""""Male nouns = ['Men,', ""Men'""]""""""",NaN,NaN,NaN,NaN
52,newsweek,https://www.newsweek.com/cranberry-sauce-debate-2020-thanksgiving-homemade-canned-1550310,"""Canned Cranberry Sauce Versus Homemade: You Have to Take a Stand""",2020-11-25,786,13,1.654,food and drinks,James Crowley,male,None,"""{' he ': 4, ' her ': 3, 'mother': 2, ' she ': 2, 'She ': 1, ' he was': 1}""",3,5,3,0,2,0,0,0,0,0,23,38,23,0,15,0,0,0,0,0,15,0,0,3,38,per pron masc,15,fem noun,6,3,0,"""""""Female nouns = ['mother']""""""",NaN,NaN,NaN,NaN,NaN
53,newsweek,https://www.newsweek.com/christmas-cookie-recipes-ketogenic-vegan-gluten-free-1555918,"""Christmas Cookies: Best Keto, Vegan and Gluten Free Recipes""",2020-12-18,1034,2,0.193,food and drinks,Soo Kim,female,None,"""{' men ': 1, ' she ': 1}""",1,0,0,0,0,1,0,0,0,0,50,0,0,0,0,50,0,0,0,0,50,0,0,8,50,pers pron fem,50,pers pron fem,6,3,1,"""""""Female nouns = [' women ']""""""","""""""Male nouns = [' men ']""""""",NaN,NaN,NaN,NaN
54,reuters,https://www.reuters.com/article/us-health-coronavirus-germany-pastry/german-bakerys-syringe-cakes-help-the-covid-medicine-go-down-idUSKBN29D21X,"""German bakery's syringe cakes help the COVID medicine go down""",2021-01-08,222,1,0.450,food and drinks,Thomas Escritt,male,None,"""{' he ': 1}""",0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,per pron masc,0,0,7,3,0,NaN,NaN,NaN,NaN,NaN,NaN
55,reuters,https://www.reuters.com/article/us-australia-ropejumping/australians-head-to-sea-cliffs-for-adrenalin-pumping-sport-idUSKBN29I0L5,"""Australians head to sea cliffs for adrenalin-pumping sport""",2021-01-13,321,3,0.935,sports,Loren Elliot,male,None,"""{' she is ': 1, ' her over': 1, ' her ': 1}""",1,0,2,0,0,0,0,0,0,0,33,0,67,0,0,0,0,0,0,0,0,0,0,0,67,deter fem,33,pers pron fem,7,8,0,NaN,NaN,NaN,NaN,NaN,NaN
56,reuters,https://www.reuters.com/article/us-health-coronavirus-india-tajmahal/thousands-flock-to-indias-taj-mahal-despite-coronavirus-fears-idUSKBN2941K0,"""Thousands flock to Taj Mahal despite coronavirus fears""",2020-12-30,274,2,0.730,travel,Shilpa Jamkhandikar,female,None,"""{' he ': 2}""",0,2,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,per pron masc,0,0,7,10,1,NaN,NaN,NaN,NaN,NaN,NaN
57,reuters,https://www.reuters.com/article/us-health-coronavirus-recruiters-focus/zoom-lunch-walk-in-the-park-europes-recruiters-adapt-to-covid-idUSKBN29J0P8,"""Zoom lunch? Walk in the park? Europe's recruiters adapt to Covid""",2021-01-14,859,4,0.466,social science,Michael Kahn/John Revill,male,None,"""{' his ': 1, ' he ': 1, ' she ': 1, 'He ': 1}""",1,2,0,1,0,0,0,0,0,0,25,50,0,25,0,0,0,0,0,0,0,0,0,0,50,per pron masc,25,pers pron fem,7,12,0,NaN,NaN,NaN,NaN,NaN,NaN
58,reuters,https://www.reuters.com/article/us-world-work-sangster/why-mba-helping-women-to-break-the-glass-ceiling-idUSKBN27I2DZ,"""Why MBA? Helping women to break the glass ceiling""",2020-11-02,721,24,3.329,social science,Cheryl Lu-Lien Tan,female,None,"""{' women ': 8, ' her ': 4, ' she ': 3, ' women’': 2, 'herself': 1, 'She was ': 1, ' women,': 1, 'She ': 1, 'daughter': 1, 'husband': 1, 'She’s': 1}""",6,0,5,0,12,1,0,0,0,0,25,0,21,0,50,4,0,0,0,0,54,0,0,9,50,fem noun,4,masc noun,7,12,1,"""""""Female nouns = [' women ', 'daughter', ' women,', ' women’']""""""","""""""Male nouns = ['husband']""""""",NaN,NaN,NaN,NaN
59,reuters,https://www.reuters.com/article/us-hongkong-security-lawyers/chinese-lawyers-involved-with-hk-activists-say-they-face-losing-licences-idUSKBN29A0SD,"""Chinese lawyers involved with HK activists say they face losing licences""",2021-01-05,525,7,1.333,politics,Jessie Pang/Yew Lun Tian,female,None,"""{' him ': 3, ' his ': 2, ' he ': 1, ' her ': 1}""",0,1,1,5,0,0,0,0,0,0,0,14,14,71,0,0,0,0,0,0,0,0,0,0,71,deter masc,14,per pron masc,7,7,1,NaN,NaN,NaN,NaN,NaN,NaN
60,science,https://www.sciencemag.org/news/2021/01/what-causes-ibs-pain-it-may-be-local-immune-reaction,"""What causes irritable bowel syndrome pain? It may be a local immune reaction""",2021-01-13,1035,7,0.676,health,Jennifer Couzin-Frankel,female,None,"""{' he ': 4, 'he’s': 1, 'His ': 1, ' his ': 1}""",0,5,0,2,0,0,0,0,0,0,0,71,0,29,0,0,0,0,0,0,0,0,0,0,71,per pron masc,29,deter masc,10,4,1,NaN,NaN,NaN,NaN,NaN,NaN
61,science,https://www.sciencemag.org/news/2021/01/science-advocacy-groups-join-calls-trump-s-removal,"""Science advocacy groups join calls for Trump’s removal""",2021-01-08,319,4,1.254,politics,Lindzi Wessel,female,None,"""{' his ': 1, 'Women': 1, ' she ': 1, ' he does': 1}""",1,1,0,1,1,0,0,0,0,0,25,25,0,25,25,0,0,0,0,0,25,0,0,4,25,pers pron fem,25,pers pron fem,10,7,1,"""""""Female nouns = ['Women']""""""",NaN,NaN,NaN,NaN,NaN
62,science,https://www.sciencemag.org/news/2020/12/suspicions-grow-nanoparticles-pfizer-s-covid-19-vaccine-trigger-rare-allergic-reactions,"""Suspicions grow that nanoparticles in Pfizer’s COVID-19 vaccine trigger rare allergic reactions""",2020-12-21,1756,12,0.683,health,Jop de Vrieze,male,None,"""{' he ': 7, ' she ': 3,  ' her ': 1, 'He ': 1}""",3,8,1,0,0,0,0,0,0,0,25,67,8,0,0,0,0,0,0,0,0,0,0,0,67,per pron masc,8,deter fem,10,4,0,NaN,NaN,NaN,NaN,NaN,NaN
63,al jazeera,https://www.aljazeera.com/features/2021/1/6/why-are-so-many-in-france-hesitant-to-take-the-covid-19-vaccine,"""Why are so many in France hesitant to take the COVID-19 vaccine?""",2021-01-06,951,15,1.577,social science,Rebeca Rosman,female,"""Misinformation and a history of health scandals have led to a powerful anti-vax movement, presenting France with a fresh challenge in the pandemic.""","""{' he ': 4, ' her ': 3, ' he is': 2, ' he was': 1, ' women,': 1, ' she does': 1, 'She ': 1, ' his ': 1, 'He ': 1}""",2,8,3,1,1,0,0,0,0,0,13,53,20,7,7,0,0,0,0,0,7,0,0,1,53,per pron masc,7,deter masc,2,12,1,"""""""Female nouns = [' women,']""""""",NaN,NaN,NaN,NaN,NaN
64,al jazeera,https://www.aljazeera.com/economy/2021/1/15/rios-hidden-trail-reveals-breathtaking-views-and-economic-hope,"""Rio’s hidden trail reveals breathtaking views and economic hope""",2021-01-15,1196,10,0.836,travel,Monica Yanakiew,female,"""In Rio de Janeiro, tourism has been hit hard by the coronavirus pandemic, but neighbourhood guides are showing locals and tourists a new side to the city.""","""{' he ': 3, 'daughter': 2, ' she ': 2, ' son ': 1, ' his ': 1, ' her ': 1}""",2,3,1,1,2,1,0,0,0,0,20,30,10,10,20,10,0,0,0,0,30,0,0,5,30,per pron masc,10,deter fem,2,10,1,"""""""Female nouns = ['daughter']""""""","""""""Male nouns = [' son ']""""""",NaN,NaN,NaN,NaN
65,al jazeera,https://www.aljazeera.com/opinions/2021/1/16/can-the-milkmaid-win-nigerias-first-oscar,"""Can the Milkmaid win Nigeria’s first Oscar?""",2021-01-16,829,23,2.774,culture,Bernard Dayo,male,"""At home, Desmond Ovbiagele’s film has faced censorship, but in the US, it may well enjoy a positive reception.""","""{'Milkmaid': 9, ' her ': 2, ' actor': 2, ' women ': 2, ' girls': 2, ' sisters,': 1, ' she is ': 1, ' his ': 1, 'Daughter': 1, 'Boy': 1, 'feminine ': 1}""",1,0,2,1,15,3,1,0,0,0,4,0,9,4,65,13,4,0,0,0,78,4,0,14,65,fem noun,4,pers pron fem,2,2,0,"""""""Female nouns = [' women ', ' girls', 'Daughter', ' sisters,', 'Milkmaid']""""""","""""""Male nouns = ['Boy', ' actor']""""""","""""""Adjectives with femenine connotation = ['feminine ']""""""",NaN,NaN,NaN
66,al jazeera,https://www.aljazeera.com/features/2020/12/6/dance-water-and-prayers-celebrating-the-goddess-yemoja,"""Dance, water and prayers: Celebrating the goddess Yemoja""",2020-12-06,1562,53,3.393,social science,Femi Amogunla,male,"""Each year, the Yoruba people in Nigeria offer thanks to Yemoja, goddess of the river and mother of all other Yoruba gods. It is an important way for them to remember and celebrate their traditional roots and beliefs.""","""{' she ': 10, ' her ': 7, 'priestess': 5, ' he ': 5, 'mother': 3, ' his ': 3, ' women ': 3, 'She ': 3, 'priest ': 2, ' woman ': 1, ' him,': 1, 'Priestess': 1, 'She is ': 1, 'She has ': 1, 'Women': 1, 'herself': 1, 'priest\n': 1, 
'Priest ': 1, 'male ': 1, 'He ': 1, ' he does': 1, ' he has': 1}""",14,8,8,4,14,4,0,1,0,0,26,15,15,8,26,8,0,2,0,0,34,2,0,6,26,pers pron fem,2,adj masc,2,12,0,"""""""Female nouns = [' women ', 'mother', 'Women', ' woman ', 'priestess', 'Priestess']""""""","""""""Male nouns = ['priest ', 'priest\n', 'Priest ']""""""",NaN,"""""""Adjectives with masculine connotation = ['male ']""""""",NaN,NaN
67,al jazeera,https://www.aljazeera.com/features/2020/11/30/the-romance-of-hong-kong-past-in-the-mood-for-love-20-years-on,"""The romance of Hong Kong past: In the Mood for Love – 20 years on""",2020-11-30,1289,16,1.241,culture,Elizabeth Beattie,female,"""The story of unrequited love set in 1960s Hong Kong, romanticised the image of a city in constant flux.""","""{' he ': 4, ' she ': 4, ' his ': 2, ' he was': 2, ' her ': 2, ' woman,': 1, ' sisters ': 1}""",4,6,2,2,2,0,0,0,0,0,25,38,13,13,13,0,0,0,0,0,13,0,0,2,38,per pron masc,13,deter fem,2,2,1,"""""""Female nouns = [' sisters ', ' sisters ']""""""",NaN,NaN,NaN,NaN,NaN
68,al jazeera,https://www.aljazeera.com/news/2021/1/14/india-reopens-famous-ladakh-lake-bordering-china-for-tourism,"""India reopens famous Ladakh lake bordering China for tourism""",2020-01-14,785,3,0.382,travel,Bilal Kuchay,male,"""Despite continuing military standoff with China, India’s decision to reopen the lake is welcomed by Ladakh residents.""","""{' he ': 2, 'He ': 1}""",0,3,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,per pron masc,0,0,2,10,0,NaN,NaN,NaN,NaN,NaN,NaN
69,al jazeera,https://www.aljazeera.com/economy/2021/1/15/robots-rising-firms-debut-fuzzy-pets-household-helpers-at-ces,"""Robots rising: Firms debut fuzzy pets, household helpers at CES""",2021-01-15,1110,9,0.811,technology,Dee Ann Divis,female,"""Firms unveiled AI-enabled gadgets aimed at making staying home during the COVID-19 crisis easier, safer and less frustrating at the first fully virtual Consumer Electronics Show.""","""{' her ': 2, ' him ': 1, ' her back to': 1, ' she ': 1, 'husband': 1, 'She was ': 1, 'daughter': 1, ' his ': 1}""",2,0,3,2,1,1,0,0,0,0,22,0,33,22,11,11,0,0,0,0,22,0,0,4,33,deter fem,11,fem noun,2,9,1,"""""""Female nouns = ['daughter']""""""","""""""Male nouns = ['husband']""""""",NaN,NaN,NaN,NaN
70,al jazeera,https://www.aljazeera.com/news/2021/1/14/indonesias-struggle-to-identify-the-sriwijaya-plane-crash-dead,"""Indonesia’s struggle to identify the Sriwijaya plane crash dead""",2021-01-14,1001,31,3.097,world,Aisyah Llewellyn,female,"""DVI teams work closely with families of those on board to identify the remains recovered from the sea.""","""{' his ': 9, ' he ': 5, ' him ': 3, ' her ': 2, 'He has ': 1, 'aunt ': 1, 'uncle': 1, 'daughter': 1, 'nephew': 1, ' he was': 1, ' sister ': 1, ' she ': 1, ' he is': 1, 'He was ': 1, 'He ': 1, 'he’s': 1}""",1,11,2,12,3,2,0,0,0,0,3,35,6,39,10,6,0,0,0,0,16,0,0,3,39,deter masc,3,pers pron fem,2,11,1,"""""""Female nouns = ['daughter', 'aunt ', ' sister ']""""""","""""""Male nouns = ['nephew', 'uncle']""""""",NaN,NaN,NaN,NaN
71,al jazeera,https://www.aljazeera.com/news/2021/1/4/swedish-friend-of-assange-fights-to-clear-his-name-in-ecuador,"""Swedish friend of Assange fights to clear his name in Ecuador""",2021-01-04,1138,33,2.900,world,Vincent Ricci,male,"""Software developer Ola Bini, accused of hacking a computer system illegally, is expected back in court this month.""","""{' his ': 12, ' he ': 6, ' him ': 3, 'His ': 2, 'He ': 1, 'He was ': 1, ' him,': 1, ' he was': 1, 'dad ': 1, 'mother': 1, ' her ': 1, 'husband': 1, ' she ': 1, ' he has': 1}""",1,10,1,18,1,2,0,0,0,0,3,30,3,55,3,6,0,0,0,0,9,0,0,2,55,deter masc,3,pers pron fem,2,11,0,"""""""Female nouns = ['mother']""""""","""""""Male nouns = ['husband', 'dad ']""""""",NaN,NaN,NaN,NaN
72,al jazeera,https://www.aljazeera.com/opinions/2021/1/12/change-is-coming-and-at-an-ever-accelerating-pace,"""Change is coming, and at an ever-accelerating pace""",2021-01-12,1425,13,0.912,technology,Larry Beinhart,male,"""As the rapid development of COVID-19 vaccines shows, science and technology are moving faster today than ever before.""","""{' his ': 4, ' her ': 3, ' guy': 2, 'Brothers,': 1, 'daughter': 1, 'mother': 1, ' she was ': 1}""",1,0,3,4,2,3,0,0,0,0,8,0,23,31,15,23,0,0,0,0,38,0,0,6,31,deter masc,8,pers pron fem,2,9,0,"""""""Female nouns = ['mother', 'daughter']""""""","""""""Male nouns = [' guy', 'Brothers,']""""""",NaN,NaN,NaN,NaN
73,al jazeera,https://www.aljazeera.com/news/2020/12/12/us-how-the-pfizer-biontech-covid-19-vaccine-roll-out-will-work,"""US: How the Pfizer-BioNTech COVID-19 vaccine roll-out will work""",2020-12-12,695,0,0.000,health,Joseph Stepansky,male,"""The vaccine is the first in the US to be approved for emergency use and will arrive at sites across the country starting on Monday.""",0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,4,0,0,0,0,0,0,0
74,the irish times,https://www.irishtimes.com/life-and-style/health-family/luke-o-neill-scientists-have-delivered-against-covid-19-now-the-politicians-need-to-1.4456455,"""Scientists have delivered against Covid-19. Now the politicians need to""",2021-01-16,1156,1,0.087,health,Luke O’Neil,male,"""‘When lockdown ends we have a chance to show we’ve learned from our experience’""","""{' his ': 1}""",0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,deter masc,0,0,8,4,0,NaN,NaN,NaN,NaN,NaN,NaN
75,the irish times,https://www.irishtimes.com/life-and-style/health-family/parenting/joanna-fortune-don-t-minimise-or-try-to-fix-a-child-s-anxiety-it-doesn-t-work-1.4450410,"""‘Don’t minimise or try to fix a child’s anxiety. It doesn’t work’""",2021-01-16,935,5,0.535,health,Joannna Fortune,female,"""Anxiety is so pervasive among teenagers that adolescence can become an age of anxiety""","""{'emotional': 5}""",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,17,100,adj fem,0,0,8,4,1,NaN,NaN,"""""""Adjectives with femenine connotation = ['emotional']""""""",NaN,NaN,NaN
76,the irish times,https://www.irishtimes.com/sport/women-in-sport/niamh-mcevoy-eyes-all-ireland-glory-before-heading-down-under-1.4439650,"""Niamh McEvoy eyes All-Ireland glory before heading Down Under""",2020-12-19,823,27,3.281,sports,Mary Hannigan,female,"""30-year-old will head back to Melbourne after her first season was cut short due to Covid ""","""{' she ': 8, ' her ': 2, ' girls': 2, ' he ': 2, ' his ': 2, 'Staunton': 1, ' sisters ': 1, 'brother ': 1, ' girl ': 1, 'she’ll': 1, ' her.': 1, 'Her ': 1, ' him ': 1, ' he was': 1, 'ladies': 1, ' man ': 1, 'he’s': 1}""",8,4,4,3,6,2,0,0,0,0,30,15,15,11,22,7,0,0,0,0,30,0,0,5,30,pers pron fem,7,masc noun,8,8,1,"""""""Female nouns = [' girl ', ' sisters ', ' girls', ' sisters ', 'ladies']""""""","""""""Male nouns = [' man ', 'brother ']""""""",NaN,NaN,NaN,NaN
77,the irish times,https://www.irishtimes.com/life-and-style/food-and-drink/paul-flynn-i-m-never-going-to-have-abs-like-joe-wicks-1.4450518,"""I’m never going to have abs like Joe Wicks""",2021-01-16,810,4,0.494,food and drinks,Paul Flynn,male,"""I flick through lifestyle cookbooks while munching crisps and chocolate in my jim-jams""","""{' his ': 1, ' him ': 1, 'He ': 1, ' man.': 1}""",0,1,0,2,0,1,0,0,0,0,0,25,0,50,0,25,0,0,0,0,25,0,0,4,50,deter masc,25,per pron masc,8,3,0,NaN,"""""""Male nouns = [' man.']""""""",NaN,NaN,NaN,NaN
78,the irish times,https://www.irishtimes.com/culture/film/netflix-has-spent-millions-on-its-films-so-why-are-they-so-mediocre-1.4458356,"""Netflix has spent millions on its films, so why are they so mediocre?""",2021-01-16,804,1,0.124,culture,Hugh Linehan,male,"""Streaming giant Netflix has spent gazillions making movies, with little of quality to show for it ""","""{' his ': 1}""",0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,deter masc,0,0,8,2,0,NaN,NaN,NaN,NaN,NaN,NaN
79,the irish times,https://www.irishtimes.com/news/politics/ireland-and-uk-determined-to-reboot-relationship-in-wake-of-brexit-says-taoiseach-1.4459459,"""Ireland and UK determined to ‘reboot’ relationship in wake of Brexit, says Taoiseach""",2021-01-15,913,31,3.395,politics,Harry McGee,male,"""Micheál Martin says there was never such a thing as a ‘good Brexit’ for Ireland""","""{'He ': 8, ' he ': 7, ' his ': 6, 'Mr': 6, ' he was': 2, ' him ': 1, ' he is': 1}""",0,18,0,7,0,0,0,0,0,6,0,58,0,23,0,0,0,0,0,19,0,0,19,3,58,per pron masc,19,title masc,8,7,0,NaN,NaN,NaN,NaN,NaN,"""""""Male titles = ['Mr']"""""""
