,source_name,url,title,date,words_count,words_converted,ratio,topic,author,gender_author,headline,counter_list,pers_pron_fem,pers_pron_masc,deter_pron_fem,deter_pron_masc,noun_fem,noun_masc,adj_conn_fem,adj_conn_masc,title_fem,title_masc,rt_pers_pron_fem,rt_pers_pron_masc,rt_deter_pron_fem,rt_deter_pron_masc,rt_noun_fem,rt_noun_masc,rt_adj_conn_fem,rt_adj_conn_masc,rt_title_fem,rt_title_masc,sum_rt_noun,sum_rt_adj,sum_rt_title,sum_rt_global_bias,max_rt,max_rt_cat,min_rt,min_rt,source_ml,topic_ml,sex_ml,fem_noun_arr,Male_noun_arr,adj_fem_arr,adj_masc_arr,title_fem_arr,title_masc_arr
17,deutsche welle,https://www.dw.com/en/bangladesh-more-women-create-online-businesses-during-pandemic/a-56076990,"""Bangladesh: More women create online businesses during pandemic""",2020-12-28,760,57,7.500,business,Arafatul Islam,male,"""Many women in Bangladesh who have lost their jobs during the COVID-19 pandemic are using Facebook to run their own businesses. But it is not an easy task in a conservative society.""","""{' women ': 18, ' she ': 10, ' her ': 5, 'Her ': 3, 'mother': 2, 'husband': 2, 'businesswomen': 2, ' he ': 2, 'daughter': 1, ' his ': 1, ' him.': 1, 'Women': 1, ' women.': 1,  ' women,': 1, ' woman ': 1, "" man'"": 1, ' men ': 1, ' man,': 1, 'businesswoman': 1, ' man.': 1, 'She ': 1}""",11,2,8,2,28,6,0,0,0,0,19,4,14,4,49,11,0,0,0,0,60,0,0,10,49,fem noun,4,per pron masc,5,1,0,NaN,NaN,NaN,NaN,NaN,NaN
18,deutsche welle,https://www.dw.com/en/search-engine-giants-like-google-could-soon-face-competition/a-56044768,"""Search engine giants like Google could soon face competition""",2020-12-27,946,27,2.854,technology,Nicolas Martin,male,"""The European Union and the United States want to introduce tighter rules for tech giants like Google. Search engine rivals are ready to step up as efforts are made to create a fairer competitive environment.""","""{' he ': 9, ' his ': 8, 'He ': 5, 'His ': 1, 'He has ': 1, ' him.': 1, 'He is ': 1, ' he does': 1}""",0,17,0,10,0,0,0,0,0,0,0,63,0,37,0,0,0,0,0,0,0,0,0,0,63,per pron masc,37,deter masc,5,9,0,NaN,NaN,NaN,NaN,NaN,NaN
19,abc news,https://abcnews.go.com/Entertainment/wireStory/woman-1984-debuts-pandemic-best-167m-74924674,"""'Wonder Woman 1984' debuts with pandemic-best $16.7M""",2020-12-28,686,15,2.187,culture,JAKE COYLE AP Film Writer,male,"""Despite premiering simultaneously by streaming service, “Wonder Woman 1984” managed the best box office debut of the pandemic, opening with $16.7 million over the Christmas weekend, according to studio estimates Sunday""","""{'Woman': 12, ' Woman”': 2, 'female ': 1}""",0,0,0,0,14,0,1,0,0,0,0,0,0,0,93,0,7,0,0,0,93,7,0,17,93,fem noun,7,adj fem,1,2,0,"""""""Female nouns = ['Woman', ' Woman”']""""""",NaN,"""""""Adjectives with femenine connotation = ['female ']""""""",NaN,NaN,NaN
20,the irish times,https://www.irishtimes.com/sport/soccer/lionel-messi-committed-to-barcelona-but-doubts-remain-1.4446579,"""Lionel Messi committed to Barcelona but doubts remain""",2020-12-28,1025,74,7.220,people,Sid Lowe,male,"""His mind may not be made but he doesn’t seem convinced club is best for him anymore""","""{' he ': 33, ' his ': 9, 'He ': 8, ' him ': 7, ' he does': 4, ' he has': 2, ' man ': 2, 'King’': 1, ' him,': 1, 'he’s': 1, ' he was': 1, 'wife': 1, 'Boy': 1, 'himself': 1, 'He does': 1, ' he is': 1}""",0,51,0,18,1,4,0,0,0,0,0,69,0,24,1,5,0,0,0,0,7,0,0,1,69,per pron masc,1,fem noun,8,6,0,"""""""Female nouns = ['wife']""""""","""""""Male nouns = [' man ', 'Boy', 'King’']""""""",NaN,NaN,NaN,NaN
21,newsweek,https://www.newsweek.com/2021/01/08/where-we-are-dreaming-traveling-2021-1556666.html,"""Where We Are Dreaming of Traveling in 2021""",2020-12-23,1167,2,0.171,travel,KATHLEEN RELLIHAN ,female,None,"""{' king ': 1, 'Mr': 1}""",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,50,0,0,0,50,50,0,50,17,50,masc noun,50,masc noun,6,10,1,NaN,"""""""Male nouns = [' king ']""""""",NaN,NaN,NaN,"""""""Male titles = ['Mr']"""""""
22,reuters,https://www.reuters.com/article/us-croatia-quake-zagreb/second-earthquake-in-two-days-strikes-central-croatia-killing-seven-and-damaging-buildings-idUSKBN293166,"""Second earthquake in two days strikes central Croatia, killing seven and damaging buildings""",2020-12-29,620,5,0.806,world,Antonio Bronic,male,None,"""{' girl ': 1, ' man ': 1, ' she ': 1, ' him ': 1, ' he ': 1}""",1,1,0,1,1,1,0,0,0,0,20,20,0,20,20,20,0,0,0,0,40,0,0,7,20,pers pron fem,20,pers pron fem,7,11,0,"""""""Female nouns = [' girl ']""""""","""""""Male nouns = [' man ']""""""",NaN,NaN,NaN,NaN
23,al jazeera,https://www.aljazeera.com/news/2020/12/29/pakistan-players-exclusion-from-cricket-award-set-fans-in-flames,"""Pakistani players’ omission from top cricket awards baffles fans""",2020-12-29,610,4,0.656,sports,Hafsa Adil,female,"""By not winning any of the 10 individual prizes, Pakistan is the only major team not to be represented at the awards by the sports’ governing body.""","""{' women’': 2, 'Male ': 1, ' men’': 1}""",0,0,0,0,2,1,0,1,0,0,0,0,0,0,50,25,0,25,0,0,75,25,0,17,50,fem noun,25,masc noun,2,8,1,"""""""Female nouns = [' women’']""""""","""""""Male nouns = [' men’']""""""",NaN,"""""""Adjectives with masculine connotation = ['Male ']""""""",NaN,NaN
24,the new york times,https://www.nytimes.com/2020/12/30/theater/frankenstein-broadway-flop.html,"""A ‘Frankenstein’ That Never Lived""",2020-12-30,2632,59,2.242,culture,Jennifer Schuessler,female,"""On Jan. 4, 1981, the effects-heavy production opened and closed on the same night. Forty years later, the creators revisit a very expensive Broadway flop.""","""{' he ': 13, 'He ': 8, ' his ': 6, ' him ': 3, ' her ': 3, ' man ': 2, 'himself': 2, ' actor': 2, 'father': 2, 'Woman': 2, '-Man': 1, 'He’d': 1, 'he’s': 1, 'Man ': 1, 'an actor': 1, 'He was ': 1, ' man,': 1, 'Bride': 1, 'His ': 1, ' man’': 1, 'He’s': 1, ' she ': 1, ' guy': 1, ' he was': 1, 'Mother': 1, 'She ': 1}""",2,26,3,12,4,12,0,0,0,0,3,44,5,20,7,20,0,0,0,0,27,0,0,5,44,per pron masc,3,pers pron fem,9,2,1,"""""""Female nouns = ['Woman', 'Bride', 'Mother']""""""","""""""Male nouns = ['father', ' man ', ' man,', 'Man ', 'an actor', ' actor', '-Man', ' guy', ' man’']""""""",NaN,NaN,NaN,NaN
25,the new york times,https://www.nytimes.com/2020/12/29/dining/soup-joumou-haitian-independence-day.html,"""With a Fortifying Soup, Haitians Share Their Pride in Independence""",2020-12-29,1412,47,3.329,world,Priya Krishna,female,"""Even in the pandemic, they’ll celebrate Jan. 1 by doling out soup joumou, a dish defined by national and familial traditions.""","""{' she ': 12, ' her ': 7, ' he ': 5, 'Mr': 4, ' his ': 4, 'Ms': 4, ' him ': 2, 'he’ll': 1, ' he was': 1, ' he has': 1, ' he does': 1, 'His ': 1, ' he is': 1, 'aunt': 1, 'Her ': 1, ' she is ': 1}""",13,10,8,7,1,0,0,0,4,4,28,21,17,15,2,0,0,0,9,9,2,0,17,3,28,pers pron fem,2,fem noun,9,11,1,"""""""Female nouns = ['aunt']""""""",NaN,NaN,NaN,"""""""Female titles = ['Ms']""""""","""""""Male titles = ['Mr']"""""""
26,the new york times,https://www.nytimes.com/2020/12/28/dining/drinks/new-years-eve-wines.html,"""An Intimate Send-Off to the Year of Being Together""",2020-12-28,1348,1,0.074,food and drinks,Eric Asimov,male,"""Most of us will be spending New Year’s Eve with the same people we spent the entire pandemic with. Let’s celebrate our small social circles with some good food and delicious wine.""","""{'wife': 1}""",0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,17,100,fem noun,0,0,9,3,0,"""""""Female nouns = ['wife']""""""",NaN,NaN,NaN,NaN,NaN
